tree,orchard,crown_area_m2,ht_m,pre_helene_vol,post_helene_vol,damage,rel_ht,rel_dens_1.8ha,HELENE_MSW,predicted_dbh
13694,W,28,8.553,200.02,165.576,17.22,0.915591714,8,33.08100128,15.35
13695,W,68,9.642,542.453,524.46,3.32,0.988199122,7,33.08100128,23.27
13696,W,34,9.35,247.101,162.422,34.27,0.956999015,8,33.08100128,17.42
13697,W,49,9.897,415.404,403.301,2.91,0.958414609,7,33.08100128,20.81
13698,W,72,9.647,633.103,355.887,43.79,0.876601545,4,33.08100128,23.8
13699,W,74,10.074,581.767,693.774,0,0.989623881,8,33.08100128,24.77
13700,W,60,9.673,448.939,243.55,45.75,1.038284017,3,33.08100128,22.2
13701,W,33,8.053,202.78,336.847,0,1.034336601,3,33.08100128,15.76
13702,W,67,9.607,510.718,461.331,9.67,1.017992625,5,33.08100128,23.08
13703,W,74,10.465,562.05,408.967,27.24,1.06283873,11,33.08100128,25.41
13704,W,39,10.887,359.218,330.619,7.96,1.114456324,9,33.08100128,20.15
13705,W,42,8.77,294.301,352.391,0,0.923352285,6,33.08100128,18.18
13706,W,63,11.013,576.081,492.677,14.48,1.049019491,8,33.08100128,24.64
13707,W,43,10.366,370.525,386.453,0,1.017896158,8,33.08100128,20.33
13708,W,65,10.312,552.198,526.035,4.74,1.037706419,10,33.08100128,23.89
13709,W,32,9.489,278.883,231.156,17.11,0.936841511,7,33.08100128,17.16
13710,W,68,10.899,604.195,620.905,0,1.030610453,7,33.08100128,25.24
13711,W,65,10.395,557.414,536.342,3.78,1.029241889,9,33.08100128,24.02
13712,W,40,8.984,279.872,324.049,0,1.463907447,1,33.08100128,18.11
13713,W,35,9.688,271.631,301.698,0,1.069929761,5,33.08100128,17.99
13714,W,57,9.991,415.307,490.528,0,1.032189031,7,33.08100128,22.22
13715,W,57,9.789,471.389,488.43,0,0.973448687,8,33.08100128,21.93
13716,W,47,9.406,366.065,408.91,0,0.99408159,6,33.08100128,19.83
13717,W,47,10.884,413.192,367.78,10.99,1.030849164,7,33.08100128,21.72
13718,W,52,10.633,465.678,497.925,0,1.095620814,3,33.08100128,22.29
13719,W,59,9.532,426.178,576.991,0,1.025791871,3,33.08100128,21.85
13720,W,41,9.47,330.681,320.06,3.21,0.969591482,8,33.08100128,18.88
13721,W,43,10.475,343.324,395.482,0,1.028192824,9,33.08100128,20.47
13722,W,74,10.654,660.916,705.716,0,1.028676258,3,33.08100128,25.72
13723,W,56,10.439,484.862,455.703,6.01,1.004458272,6,33.08100128,22.7
13724,W,40,9.156,294.326,297.258,0,0.948513416,6,33.08100128,18.32
13725,W,56,10.27,500.772,489.973,2.16,0.943621596,10,33.08100128,22.46
13726,W,79,9.329,593.473,479.374,19.23,0.926231136,6,33.08100128,24.13
13727,W,25,7.769,177.335,243.9,0,0.94475618,7,33.08100128,13.93
13728,W,48,9.397,378.223,327.91,13.3,0.949287807,8,33.08100128,19.98
13729,W,54,10.39,465.2,408.454,12.2,0.98895869,10,33.08100128,22.3
13730,W,55,10.038,406.819,518.725,0,0.999611627,10,33.08100128,21.97
13731,W,28,11.407,281.731,240.687,14.57,1.038113613,5,33.08100128,18.11
13732,W,63,11.232,558.246,652.895,0,1.041178288,9,33.08100128,24.96
13733,W,47,11.725,451.437,455.557,0,1.210822533,2,33.08100128,22.76
13734,W,49,10.796,394.199,457.656,0,1.146112743,6,33.08100128,21.98
13735,W,54,9.991,422.09,450.688,0,0.947654221,8,33.08100128,21.75
13736,W,60,10.496,503.154,508.981,0,1.037872046,5,33.08100128,23.41
13737,W,31,8.182,211.008,290.45,0,0.96049774,8,33.08100128,15.54
13738,W,47,10.637,378.096,442.998,0,1.094465423,10,33.08100128,21.41
13739,W,78,7.872,476.935,456.849,4.21,0.807384615,6,33.08100128,21.41
13740,W,48,9.109,335.734,420.06,0,1.008947252,9,33.08100128,19.59
13741,W,76,10.149,614.647,363.331,40.89,0.957641046,12,33.08100128,25.16
13742,W,66,10.878,624.815,602.308,3.6,1.04011644,9,33.08100128,24.9
13743,W,52,9.72,409.206,448.311,0,1.010289991,6,33.08100128,21.06
13744,W,61,10.31,529.923,470.783,11.16,0.989206045,8,33.08100128,23.29
13745,W,47,8.946,349.088,413.198,0,0.974324067,4,33.08100128,19.21
13746,W,52,9.715,369.279,471.395,0,1.058311806,7,33.08100128,21.05
13747,W,34,8.767,245.106,290.225,0,1.059541554,6,33.08100128,16.77
13748,W,36,8.833,248.416,318.524,0,0.975064393,9,33.08100128,17.21
13749,W,43,10.413,399.6,356.323,10.83,0.993038337,8,33.08100128,20.39
13750,W,61,11.376,550.018,540.002,1.82,1.068068726,9,33.08100128,24.84
13751,W,57,9.734,437.241,469.505,0,1.006760378,11,33.08100128,21.85
13752,W,46,10.68,413.502,334.67,19.06,1.001567461,7,33.08100128,21.28
13753,W,68,9.482,463.331,357.64,22.81,1.037304452,4,33.08100128,23.01
13754,W,48,8.93,341.237,377.378,0,0.978396199,11,33.08100128,19.35
13755,W,45,10.479,409.087,362.848,11.3,1.041753653,9,33.08100128,20.85
13756,W,74,10.024,648.414,665.324,0,0.991624349,6,33.08100128,24.69
13757,W,46,9.538,351.128,325.646,7.26,0.978815734,7,33.08100128,19.83
13758,W,43,9.721,335.405,258.76,22.85,0.9413918,5,33.08100128,19.55
13759,W,75,10.522,642.802,608.449,5.34,1.037915685,8,33.08100128,25.64
13760,W,41,9.616,297.831,426.153,0,1.076744349,8,33.08100128,19.06
13761,W,54,9.994,410.325,299.975,26.89,1.089630484,12,33.08100128,21.75
13762,W,54,10.413,455.503,NA,NA,0.989724364,9,33.08100128,22.33
13763,W,46,9.97,399.378,410.365,0,0.931185853,9,33.08100128,20.39
13764,W,40,8.628,251.461,303.149,0,0.947481126,12,33.08100128,17.67
13765,W,35,9.359,259.522,289.703,0,0.988661573,9,33.08100128,17.63
13766,W,78,10.765,695.332,521.646,24.98,1.022175992,11,33.08100128,26.45
13767,W,66,11.071,615.686,531.594,13.66,1.054355849,8,33.08100128,25.19
13768,W,45,9.866,321.3,108.231,66.31,1.059314365,7,33.08100128,20.08
13769,W,55,11.163,517.693,91.241,82.38,1.102083128,6,33.08100128,23.52
13770,W,72,9.928,546.831,682.689,0,1.010806801,7,33.08100128,24.27
13771,W,49,10.274,406.091,487.304,0,1.111853192,7,33.08100128,21.3
13772,W,55,10.18,433.092,407.202,5.98,0.977225275,8,33.08100128,22.17
13773,W,46,10.487,420.505,361.195,14.1,1.003444646,10,33.08100128,21.04
13774,W,62,11.189,549.085,631.142,0,1.104167254,7,33.08100128,24.73
13775,W,41,9.93,323.658,390.603,0,1.110593323,6,33.08100128,19.43
13776,W,33,7.834,181.736,158.839,12.6,0.87824217,11,33.08100128,15.51
13777,W,67,10.835,571.087,558.884,2.14,1.033210812,11,33.08100128,24.99
13778,W,27,8.902,186.077,225.196,0,0.911265419,6,33.08100128,15.49
13779,W,62,10.199,489.796,500.64,0,1.122866894,7,33.08100128,23.28
13780,W,61,8.359,375.205,381.291,0,0.873769155,5,33.08100128,20.32
13781,W,59,8.319,432.868,437.193,0,0.879603849,9,33.08100128,20
13782,W,52,9.812,432.526,388.906,10.08,0.945131422,8,33.08100128,21.18
13783,W,62,10.532,507.901,1.069,99.79,1.031386182,8,33.08100128,23.77
13784,W,79,10.51,700.256,636.125,9.16,0.997137933,6,33.08100128,26.16
13785,W,67,8.506,437.632,426.366,2.57,0.972013297,11,33.08100128,21.3
13786,W,45,10.277,385.065,378.886,1.6,1.015399164,7,33.08100128,20.6
13787,W,68,10.729,602.119,508.167,15.6,1.035140379,9,33.08100128,24.97
13788,W,54,9.798,397.217,495.302,0,1.003908137,7,33.08100128,21.48
13789,W,24,8.119,164.126,210.535,0,1.006421063,10,33.08100128,14.06
13790,W,74,9.911,556.631,740.655,0,1.01854992,8,33.08100128,24.5
13791,W,55,10.31,467.829,446.848,4.48,1.006167779,5,33.08100128,22.35
13792,W,76,9.388,563.059,56.225,90.01,0.933117316,10,33.08100128,23.87
13793,W,47,8.574,254.975,249.976,1.96,0.995692659,11,33.08100128,18.71
13794,W,60,10.784,527.092,540.321,0,1.105635488,6,33.08100128,23.83
13795,W,58,10.59,529.374,75.93,85.66,1.035190616,7,33.08100128,23.23
13796,W,74,10.442,627.66,575.948,8.24,1.002207506,9,33.08100128,25.37
13797,W,54,9.97,393.209,403.518,0,0.955794631,9,33.08100128,21.72
13798,W,50,10.579,408.754,426.643,0,1.080340209,7,33.08100128,21.87
13799,W,56,9.388,453.38,457.208,0,1.000466238,8,33.08100128,21.2
13800,W,52,7.175,299.092,353.137,0,0.806707143,11,33.08100128,17.36
13801,W,70,9.883,536.083,507.577,5.32,1.051394164,10,33.08100128,23.92
13802,W,73,10.215,645.591,597.494,7.45,1.062770938,6,33.08100128,24.87
13803,W,51,10.088,378.188,477.62,0,1.11292836,8,33.08100128,21.39
13804,W,53,8.401,336.083,167.011,50.31,1.087065826,7,33.08100128,19.33
13805,W,66,9.604,500.2,510.078,0,0.982740978,9,33.08100128,22.94
13806,W,34,8.052,209.871,253.567,0,1.077575055,6,33.08100128,15.94
13807,W,26,9.715,208.179,148.857,28.5,0.995270374,6,33.08100128,16.04
13808,W,56,9.718,387.698,542.795,0,1.013558615,7,33.08100128,21.68
13809,W,43,7.96,258.933,208.421,19.51,0.936387966,8,33.08100128,17.28
13810,W,55,9.871,482.128,420.924,12.69,0.950835147,10,33.08100128,21.74
13811,W,61,10.512,511.732,543.621,0,1.109197146,8,33.08100128,23.59
13812,W,54,9.114,399.572,355.461,11.04,0.974357408,7,33.08100128,20.51
13813,W,31,8.215,177.476,229.075,0,1.103400416,6,33.08100128,15.58
13814,W,78,10.203,574.297,444.042,22.68,1.12318362,5,33.08100128,25.51
13815,W,41,9.529,331.041,267.083,19.32,1.023168971,9,33.08100128,18.95
13816,W,75,10.496,592.587,355.47,40.01,1.122046823,9,33.08100128,25.6
13817,W,29,9.638,232.747,256.807,0,1.08619621,6,33.08100128,16.66
13818,W,56,8.442,339.767,255.526,24.79,1.009340766,8,33.08100128,19.8
13819,W,38,9.887,327.438,304.385,7.04,1.015874647,6,33.08100128,18.81
13820,W,57,10.619,505.566,482.461,4.57,1.086276034,10,33.08100128,23.11
13821,W,76,10.47,667.794,701.087,0,1.151371859,4,33.08100128,25.69
13822,W,30,9.763,208.576,215.113,0,1.168821618,7,33.08100128,17.01
13823,W,48,8.593,325.628,253.329,22.2,1.117909801,6,33.08100128,18.89
13824,W,55,10.123,481.372,407.048,15.44,1.054369337,9,33.08100128,22.09
13825,W,26,7.232,139.783,88.123,36.96,0.84949931,8,33.08100128,13.57
13826,W,60,7.912,406.827,277.626,31.76,0.995508134,10,33.08100128,19.49
13827,W,49,10.234,373.865,99.688,73.34,1.147291043,7,33.08100128,21.25
13828,W,42,8.998,313.612,268.771,14.3,0.93615398,6,33.08100128,18.47
13829,W,43,9.43,355.552,310.835,12.58,1.031583553,7,33.08100128,19.18
13830,W,67,10.531,582.479,569.256,2.27,1.102064736,10,33.08100128,24.52
13831,W,60,8.18,412.602,405.697,1.67,0.853505843,5,33.08100128,19.91
13832,W,75,7.822,464.429,178.324,61.6,1.030295047,6,33.08100128,21.01
13833,W,48,9.93,397.421,368.365,7.31,1.044737734,9,33.08100128,20.68
13834,W,37,8.22,231.945,296.559,0,0.933785837,8,33.08100128,16.66
13835,W,27,10.407,223.45,212.196,5.04,1.172124454,4,33.08100128,16.93
13836,W,57,9.498,449.294,377.992,15.87,1.04126469,5,33.08100128,21.51
13837,W,44,8.545,286.995,323.022,0,0.96181986,5,33.08100128,18.21
